id	label	users	reach	tweets	impact
fever	fever	1	1	2	2
early	early	1	1	14	14
risk	risk	1	1	2	2
elements	elements	1	1	7	7
presence	presence	1	1	2	2
high	high	1	1	8	8
city	city	1	1	6	6
british	british	1	1	2	2
came	came	1	1	3	3
performing	performing	1	1	2	2
wood	wood	1	1	5	5
celebrated	celebrated	1	1	2	2
approximately	approximately	1	1	5	5
largest	largest	1	1	7	7
well	well	1	1	19	19
defeated	defeated	1	1	4	4
fully	fully	1	1	4	4
passage	passage	1	1	2	2
last	last	1	1	4	4
title	title	1	1	3	3
flash	flash	1	1	2	2
spoke	spoke	1	1	2	2
future	future	1	1	4	4
generic	generic	1	1	3	3
age	age	1	1	2	2
revolutions	revolutions	1	1	2	2
lead	lead	1	1	3	3
refers	refers	1	1	7	7
sentimental	sentimental	1	1	2	2
materials	materials	1	1	4	4
highest	highest	1	1	2	2
formed	formed	1	1	6	6
president	president	1	1	3	3
testing	testing	1	1	2	2
however	however	1	1	10	10
1521	1521	1	1	2	2
2007	2007	1	1	2	2
target	target	1	1	2	2
peoples	peoples	1	1	3	3
damaged	damaged	1	1	2	2
practice	practice	1	1	5	5
entire	entire	1	1	2	2
written	written	1	1	9	9
vertebrates	vertebrates	1	1	4	4
operation	operation	1	1	3	3
stored	stored	1	1	5	5
program	program	1	1	6	6
bark	bark	1	1	2	2
level	level	1	1	5	5
william	william	1	1	2	2
cryptographic	cryptographic	1	1	3	3
ottoman	ottoman	1	1	2	2
awards	awards	1	1	3	3
progressive	progressive	1	1	2	2
imposed	imposed	1	1	2	2
details	details	1	1	3	3
forces	forces	1	1	5	5
physical	physical	1	1	4	4
primarily	primarily	1	1	5	5
capable	capable	1	1	2	2
code	code	1	1	2	2
saw	saw	1	1	5	5
religious	religious	1	1	3	3
manufacturing	manufacturing	1	1	2	2
die	die	1	1	4	4
member	member	1	1	2	2
longest	longest	1	1	4	4
although	although	1	1	15	15
side	side	1	1	3	3
also	also	1	1	36	36
alternate	alternate	1	1	2	2
surrender	surrender	1	1	2	2
psychological	psychological	1	1	2	2
worldwide	worldwide	1	1	3	3
leads	leads	1	1	2	2
science	science	1	1	3	3
figure	figure	1	1	3	3
lasted	lasted	1	1	4	4
categories	categories	1	1	4	4
variable	variable	1	1	2	2
recording	recording	1	1	3	3
presenting	presenting	1	1	2	2
inspired	inspired	1	1	3	3
return	return	1	1	2	2
political	political	1	1	6	6
additionally	additionally	1	1	2	2
later	later	1	1	8	8
life	life	1	1	4	4
1931	1931	1	1	2	2
died	died	1	1	2	2
versions	versions	1	1	3	3
increase	increase	1	1	3	3
cells	cells	1	1	6	6
course	course	1	1	2	2
medical	medical	1	1	2	2
two	two	1	1	21	21
underlying	underlying	1	1	4	4
thought	thought	1	1	3	3
subsequently	subsequently	1	1	2	2
infrastructure	infrastructure	1	1	2	2
outside	outside	1	1	2	2
begins	begins	1	1	3	3
machines	machines	1	1	2	2
style	style	1	1	2	2
authenticity	authenticity	1	1	2	2
western	western	1	1	13	13
hart	hart	1	1	2	2
application	application	1	1	3	3
host	host	1	1	2	2
times	times	1	1	5	5
nahuatl	nahuatl	1	1	2	2
filtered	filtered	1	1	2	2
branch	branch	1	1	3	3
form	form	1	1	14	14
affect	affect	1	1	2	2
collection	collection	1	1	2	2
run	run	1	1	4	4
sometimes	sometimes	1	1	10	10
actress	actress	1	1	2	2
performances	performances	1	1	5	5
temperature	temperature	1	1	2	2
directly	directly	1	1	5	5
meanwhile	meanwhile	1	1	3	3
league	league	1	1	2	2
19th	19th	1	1	8	8
nominated	nominated	1	1	3	3
forms	forms	1	1	9	9
properties	properties	1	1	2	2
october	october	1	1	4	4
reference	reference	1	1	2	2
single	single	1	1	4	4
system	system	1	1	15	15
conflicts	conflicts	1	1	3	3
native	native	1	1	3	3
cell	cell	1	1	2	2
back	back	1	1	4	4
ran	ran	1	1	3	3
describe	describe	1	1	4	4
tenochtitlan	tenochtitlan	1	1	3	3
250	250	1	1	2	2
cost	cost	1	1	2	2
indeed	indeed	1	1	3	3
time	time	1	1	11	11
raised	raised	1	1	2	2
mechanism	mechanism	1	1	3	3
world's	world's	1	1	4	4
example	example	1	1	11	11
diseases	diseases	1	1	4	4
limited	limited	1	1	2	2
historically	historically	1	1	3	3
diffuse	diffuse	1	1	2	2
attacks	attacks	1	1	2	2
attempt	attempt	1	1	2	2
layer	layer	1	1	3	3
works	works	1	1	5	5
lack	lack	1	1	4	4
lyrics	lyrics	1	1	5	5
value	value	1	1	3	3
logic	logic	1	1	3	3
computer	computer	1	1	9	9
greek	greek	1	1	4	4
runs	runs	1	1	2	2
defeat	defeat	1	1	2	2
attack	attack	1	1	3	3
layering	layering	1	1	2	2
organization	organization	1	1	3	3
success	success	1	1	3	3
ideal	ideal	1	1	2	2
unclear	unclear	1	1	2	2
don	don	1	1	2	2
globally	globally	1	1	2	2
west	west	1	1	6	6
1995	1995	1	1	2	2
arthur	arthur	1	1	4	4
powers	powers	1	1	6	6
reading	reading	1	1	2	2
computation	computation	1	1	3	3
neural	neural	1	1	2	2
hand	hand	1	1	2	2
great	great	1	1	6	6
problems	problems	1	1	3	3
bloc	bloc	1	1	2	2
theme	theme	1	1	2	2
relatively	relatively	1	1	3	3
america	america	1	1	6	6
longer	longer	1	1	3	3
1945	1945	1	1	2	2
address	address	1	1	2	2
light	light	1	1	2	2
leading	leading	1	1	5	5
independent	independent	1	1	2	2
1986	1986	1	1	2	2
latin	latin	1	1	5	5
2011	2011	1	1	2	2
instructions	instructions	1	1	3	3
hours	hours	1	1	2	2
ages	ages	1	1	4	4
semiconductor	semiconductor	1	1	2	2
medications	medications	1	1	3	3
april	april	1	1	3	3
air	air	1	1	3	3
classical	classical	1	1	5	5
december	december	1	1	3	3
commercially	commercially	1	1	2	2
speech	speech	1	1	2	2
five	five	1	1	3	3
elsewhere	elsewhere	1	1	2	2
technological	technological	1	1	2	2
mass	mass	1	1	3	3
producing	producing	1	1	3	3
therefore	therefore	1	1	2	2
speakers	speakers	1	1	2	2
alliance	alliance	1	1	5	5
man	man	1	1	2	2
popularity	popularity	1	1	4	4
influence	influence	1	1	3	3
non	non	1	1	8	8
toxins	toxins	1	1	2	2
damage	damage	1	1	3	3
italian	italian	1	1	3	3
like	like	1	1	8	8
shifts	shifts	1	1	2	2
pigments	pigments	1	1	2	2
chronic	chronic	1	1	3	3
takes	takes	1	1	5	5
european	european	1	1	5	5
artistic	artistic	1	1	2	2
empire	empire	1	1	6	6
groups	groups	1	1	5	5
confer	confer	1	1	2	2
fantasy	fantasy	1	1	2	2
based	based	1	1	10	10
culture	culture	1	1	6	6
work	work	1	1	7	7
perspective	perspective	1	1	2	2
conception	conception	1	1	2	2
theatrical	theatrical	1	1	3	3
ritual	ritual	1	1	2	2
assembled	assembled	1	1	2	2
actors	actors	1	1	2	2
length	length	1	1	3	3
eastern	eastern	1	1	6	6
bacterial	bacterial	1	1	2	2
germans	germans	1	1	2	2
behind	behind	1	1	2	2
place	place	1	1	8	8
conflict	conflict	1	1	3	3
book	book	1	1	6	6
sites	sites	1	1	2	2
ended	ended	1	1	4	4
fronts	fronts	1	1	2	2
classic	classic	1	1	3	3
acts	acts	1	1	2	2
pigment	pigment	1	1	2	2
thus	thus	1	1	5	5
middle	middle	1	1	5	5
ten	ten	1	1	2	2
infectious	infectious	1	1	3	3
art	art	1	1	9	9
lived	lived	1	1	3	3
viral	viral	1	1	2	2
long	long	1	1	11	11
axis	axis	1	1	4	4
small	small	1	1	7	7
associated	associated	1	1	6	6
tenth	tenth	1	1	2	2
2003	2003	1	1	3	3
allowing	allowing	1	1	3	3
contact	contact	1	1	5	5
phrase	phrase	1	1	2	2
need	need	1	1	4	4
transfer	transfer	1	1	2	2
ducts	ducts	1	1	2	2
valley	valley	1	1	3	3
results	results	1	1	5	5
initiative	initiative	1	1	2	2
plasma	plasma	1	1	2	2
subgenres	subgenres	1	1	2	2
inhabitants	inhabitants	1	1	2	2
regional	regional	1	1	2	2
frequently	frequently	1	1	6	6
needed	needed	1	1	2	2
incorporates	incorporates	1	1	3	3
romantic	romantic	1	1	2	2
timing	timing	1	1	2	2
american	american	1	1	8	8
offered	offered	1	1	2	2
creating	creating	1	1	8	8
texcoco	texcoco	1	1	2	2
artwork	artwork	1	1	2	2
machine	machine	1	1	3	3
create	create	1	1	6	6
india	india	1	1	3	3
made	made	1	1	8	8
entertainment	entertainment	1	1	3	3
currently	currently	1	1	2	2
artworks	artworks	1	1	3	3
might	might	1	1	2	2
one	one	1	1	21	21
george	george	1	1	5	5
postclassic	postclassic	1	1	2	2
left	left	1	1	2	2
skin	skin	1	1	5	5
teotihuacan	teotihuacan	1	1	2	2
forming	forming	1	1	2	2
environmental	environmental	1	1	2	2
industry	industry	1	1	3	3
encrypted	encrypted	1	1	2	2
aristotle's	aristotle's	1	1	2	2
deployment	deployment	1	1	2	2
writing	writing	1	1	3	3
literary	literary	1	1	2	2
produced	produced	1	1	11	11
poland	poland	1	1	3	3
drama	drama	1	1	2	2
implementations	implementations	1	1	2	2
seen	seen	1	1	8	8
italy	italy	1	1	4	4
read	read	1	1	3	3
late	late	1	1	10	10
plot	plot	1	1	5	5
called	called	1	1	14	14
pressure	pressure	1	1	3	3
brought	brought	1	1	2	2
internet	internet	1	1	2	2
intended	intended	1	1	4	4
store	store	1	1	5	5
fewer	fewer	1	1	2	2
economic	economic	1	1	7	7
guatemalan	guatemalan	1	1	2	2
initially	initially	1	1	2	2
comprises	comprises	1	1	2	2
critics	critics	1	1	3	3
july	july	1	1	2	2
least	least	1	1	4	4
disk	disk	1	1	2	2
romance	romance	1	1	2	2
special	special	1	1	3	3
subject	subject	1	1	3	3
heart	heart	1	1	6	6
qualities	qualities	1	1	3	3
charles	charles	1	1	3	3
world	world	1	1	17	17
epics	epics	1	1	2	2
introduced	introduced	1	1	3	3
facilities	facilities	1	1	2	2
reparations	reparations	1	1	2	2
water	water	1	1	5	5
general	general	1	1	5	5
plan	plan	1	1	2	2
golden	golden	1	1	2	2
contractions	contractions	1	1	2	2
france	france	1	1	6	6
covers	covers	1	1	5	5
sees	sees	1	1	2	2
ceremonial	ceremonial	1	1	2	2
fighting	fighting	1	1	3	3
major	major	1	1	12	12
controlled	controlled	1	1	4	4
specific	specific	1	1	8	8
populations	populations	1	1	2	2
novels	novels	1	1	3	3
lowlands	lowlands	1	1	2	2
support	support	1	1	11	11
nuclear	nuclear	1	1	2	2
arts	arts	1	1	4	4
stage	stage	1	1	3	3
russia	russia	1	1	2	2
protects	protects	1	1	3	3
various	various	1	1	7	7
another	another	1	1	5	5
pattern	pattern	1	1	2	2
performed	performed	1	1	2	2
biological	biological	1	1	3	3
drying	drying	1	1	2	2
1987	1987	1	1	2	2
san	san	1	1	3	3
important	important	1	1	4	4
subsequent	subsequent	1	1	4	4
group	group	1	1	2	2
distinction	distinction	1	1	3	3
electrical	electrical	1	1	2	2
variety	variety	1	1	3	3
ancient	ancient	1	1	7	7
created	created	1	1	3	3
parallel	parallel	1	1	2	2
transferred	transferred	1	1	2	2
content	content	1	1	2	2
definition	definition	1	1	3	3
period	period	1	1	8	8
named	named	1	1	4	4
presented	presented	1	1	2	2
americas	americas	1	1	2	2
human	human	1	1	10	10
books	books	1	1	3	3
techniques	techniques	1	1	2	2
refer	refer	1	1	3	3
given	given	1	1	5	5
site	site	1	1	5	5
population	population	1	1	5	5
dance	dance	1	1	4	4
republic	republic	1	1	2	2
aid	aid	1	1	2	2
story	story	1	1	8	8
per	per	1	1	6	6
operates	operates	1	1	2	2
train	train	1	1	2	2
person	person	1	1	4	4
sense	sense	1	1	2	2
estimated	estimated	1	1	5	5
sometime	sometime	1	1	2	2
recovery	recovery	1	1	2	2
painters	painters	1	1	2	2
set	set	1	1	5	5
may	may	1	1	25	25
allows	allows	1	1	3	3
processor	processor	1	1	5	5
see	see	1	1	4	4
1919	1919	1	1	3	3
functions	functions	1	1	5	5
function	function	1	1	5	5
revival	revival	1	1	2	2
protagonist	protagonist	1	1	2	2
means	means	1	1	6	6
near	near	1	1	4	4
lionel	lionel	1	1	2	2
joined	joined	1	1	2	2
developed	developed	1	1	9	9
stories	stories	1	1	2	2
first	first	1	1	21	21
static	static	1	1	2	2
wilson	wilson	1	1	2	2
completely	completely	1	1	4	4
tend	tend	1	1	2	2
already	already	1	1	3	3
unique	unique	1	1	2	2
repetition	repetition	1	1	2	2
compiled	compiled	1	1	4	4
scott	scott	1	1	2	2
cast	cast	1	1	4	4
musical	musical	1	1	8	8
act	act	1	1	2	2
popular	popular	1	1	6	6
media	media	1	1	3	3
infection	infection	1	1	4	4
smaller	smaller	1	1	4	4
romances	romances	1	1	2	2
action	action	1	1	3	3
known	known	1	1	24	24
print	print	1	1	2	2
japan	japan	1	1	2	2
interest	interest	1	1	2	2
disorder	disorder	1	1	2	2
turn	turn	1	1	3	3
matter	matter	1	1	2	2
name	name	1	1	3	3
protocols	protocols	1	1	2	2
many	many	1	1	24	24
unlike	unlike	1	1	3	3
widespread	widespread	1	1	7	7
northern	northern	1	1	2	2
musicals	musicals	1	1	2	2
users	users	1	1	2	2
case	case	1	1	5	5
next	next	1	1	2	2
received	received	1	1	3	3
registers	registers	1	1	3	3
synonym	synonym	1	1	2	2
vessel	vessel	1	1	2	2
storage	storage	1	1	3	3
marked	marked	1	1	3	3
setting	setting	1	1	4	4
not	not	1	1	24	24
painted	painted	1	1	2	2
libraries	libraries	1	1	2	2
strategic	strategic	1	1	2	2
dominated	dominated	1	1	4	4
emerged	emerged	1	1	4	4
rich	rich	1	1	3	3
towards	towards	1	1	5	5
plants	plants	1	1	2	2
exist	exist	1	1	6	6
audiences	audiences	1	1	4	4
meaning	meaning	1	1	9	9
deaths	deaths	1	1	4	4
cases	cases	1	1	4	4
ibm	ibm	1	1	2	2
starred	starred	1	1	3	3
soon	soon	1	1	2	2
height	height	1	1	2	2
decades	decades	1	1	3	3
must	must	1	1	2	2
objects	objects	1	1	2	2
kingdom	kingdom	1	1	4	4
artist	artist	1	1	2	2
expansion	expansion	1	1	2	2
differences	differences	1	1	3	3
difficult	difficult	1	1	2	2
rhetoric	rhetoric	1	1	2	2
borders	borders	1	1	2	2
century	century	1	1	17	17
contain	contain	1	1	3	3
fluid	fluid	1	1	3	3
cultural	cultural	1	1	3	3
failure	failure	1	1	2	2
nodes	nodes	1	1	2	2
pre	pre	1	1	5	5
said	said	1	1	3	3
debut	debut	1	1	2	2
occupied	occupied	1	1	2	2
microprocessor	microprocessor	1	1	3	3
systems	systems	1	1	10	10
appear	appear	1	1	2	2
glands	glands	1	1	2	2
drives	drives	1	1	3	3
deadliest	deadliest	1	1	2	2
mesoamerican	mesoamerican	1	1	4	4
conquered	conquered	1	1	3	3
stopped	stopped	1	1	2	2
award	award	1	1	4	4
provide	provide	1	1	4	4
way	way	1	1	3	3
crisis	crisis	1	1	2	2
server	server	1	1	3	3
reflect	reflect	1	1	2	2
location	location	1	1	4	4
1950s	1950s	1	1	2	2
understand	understand	1	1	2	2
factors	factors	1	1	3	3
hungarian	hungarian	1	1	2	2
dramatic	dramatic	1	1	3	3
power	power	1	1	8	8
response	response	1	1	5	5
actor	actor	1	1	4	4
mechanical	mechanical	1	1	2	2
opening	opening	1	1	4	4
sophistication	sophistication	1	1	2	2
germany	germany	1	1	7	7
preventing	preventing	1	1	2	2
evidence	evidence	1	1	4	4
caused	caused	1	1	4	4
industrial	industrial	1	1	3	3
exchange	exchange	1	1	5	5
consists	consists	1	1	3	3
process	process	1	1	7	7
widely	widely	1	1	7	7
territories	territories	1	1	2	2
dead	dead	1	1	2	2
alliances	alliances	1	1	2	2
gross	gross	1	1	2	2
cultures	cultures	1	1	4	4
environment	environment	1	1	3	3
size	size	1	1	3	3
formally	formally	1	1	2	2
versailles	versailles	1	1	2	2
methods	methods	1	1	2	2
spanish	spanish	1	1	3	3
acquired	acquired	1	1	3	3
treatment	treatment	1	1	2	2
typically	typically	1	1	13	13
except	except	1	1	3	3
fine	fine	1	1	2	2
portions	portions	1	1	2	2
focuses	focuses	1	1	2	2
1000	1000	1	1	2	2
effective	effective	1	1	4	4
low	low	1	1	4	4
participants	participants	1	1	2	2
color	color	1	1	2	2
collapse	collapse	1	1	2	2
blood	blood	1	1	6	6
integration	integration	1	1	2	2
earlier	earlier	1	1	2	2
south	south	1	1	4	4
otherwise	otherwise	1	1	2	2
outcomes	outcomes	1	1	2	2
suggests	suggests	1	1	3	3
without	without	1	1	3	3
vascular	vascular	1	1	2	2
condition	condition	1	1	2	2
operating	operating	1	1	2	2
control	control	1	1	5	5
community	community	1	1	2	2
unit	unit	1	1	3	3
society	society	1	1	2	2
language	language	1	1	9	9
entity	entity	1	1	2	2
traditions	traditions	1	1	6	6
recorded	recorded	1	1	2	2
references	references	1	1	2	2
robert	robert	1	1	3	3
count	count	1	1	2	2
eventually	eventually	1	1	4	4
greatly	greatly	1	1	2	2
related	related	1	1	6	6
tension	tension	1	1	2	2
employed	employed	1	1	2	2
devices	devices	1	1	5	5
public	public	1	1	5	5
bytecode	bytecode	1	1	2	2
narrative	narrative	1	1	3	3
business	business	1	1	3	3
cold	cold	1	1	2	2
originated	originated	1	1	2	2
changes	changes	1	1	2	2
designed	designed	1	1	6	6
renaissance	renaissance	1	1	3	3
troops	troops	1	1	3	3
regarded	regarded	1	1	2	2
ending	ending	1	1	3	3
bce	bce	1	1	2	2
required	required	1	1	4	4
production	production	1	1	8	8
allies	allies	1	1	7	7
